metric	value	source
neuron_occipital_AD	15	projects/GSE66351/configure_AD_vs_CTRL_neuron_occipital.tsv
neuron_occipital_CTRL	16	projects/GSE66351/configure_AD_vs_CTRL_neuron_occipital.tsv
glia_occipital_AD	15	projects/GSE66351/configure_AD_vs_CTRL_glia_occipital.tsv
glia_occipital_CTRL	16	projects/GSE66351/configure_AD_vs_CTRL_glia_occipital.tsv
frontal_bulk_AD	37	projects/GSE66351/gse66351_stratified_config_summary.tsv
frontal_bulk_CTRL	26	projects/GSE66351/gse66351_stratified_config_summary.tsv
temporal_bulk_AD	39	projects/GSE66351/gse66351_stratified_config_summary.tsv
temporal_bulk_CTRL	26	projects/GSE66351/gse66351_stratified_config_summary.tsv
recovery_run_output	projects/GSE66351/AD_vs_CTRL_neuron_occipital_results_worker2_minfi_vp0_limmavp0	docs/gse66351_task6_recovery.md
recovery_run_mode	Minfi-only with --skip-sesame	docs/gse66351_task6_recovery.md
samples_passed_qc	31	projects/GSE66351/AD_vs_CTRL_neuron_occipital_results_worker2_minfi_vp0_limmavp0/QC_Summary.csv
idat_pairs_missing	0	projects/GSE66351/AD_vs_CTRL_neuron_occipital_results_worker2_minfi_vp0_limmavp0/Preflight_Summary.csv
final_probes	420309	projects/GSE66351/AD_vs_CTRL_neuron_occipital_results_worker2_minfi_vp0_limmavp0/Probe_Filter_Summary.csv
minfi_lambda	0.926590458015778	projects/GSE66351/AD_vs_CTRL_neuron_occipital_results_worker2_minfi_vp0_limmavp0/Minfi_Metrics.csv
minfi_lambda_guard_status	ok	projects/GSE66351/AD_vs_CTRL_neuron_occipital_results_worker2_minfi_vp0_limmavp0/Minfi_Metrics.csv
primary_result_mode	tier3_ineligible	projects/GSE66351/AD_vs_CTRL_neuron_occipital_results_worker2_minfi_vp0_limmavp0/Minfi_Metrics.csv
minfi_dmr_rows	865	projects/GSE66351/AD_vs_CTRL_neuron_occipital_results_worker2_minfi_vp0_limmavp0/Minfi_DMRs.csv
summary_json_available	false	projects/GSE66351/AD_vs_CTRL_neuron_occipital_results_worker2_minfi_vp0_limmavp0.log
full_dual_pipeline_terminal	false	projects/GSE66351/AD_vs_CTRL_neuron_occipital_results_worker2_vp0_limmavp0_run2.log
